Name	 S 	 I 	 R 	 Total 	 Time 
Calcutta	18.0	86.0	7504.0	7608.0	10
Bombay	29.0	145.0	8669.0	8843.0	10
Delhi	40.0	215.0	10240.0	10495.0	10
Madras	34.0	171.0	8984.0	9189.0	10
Seoul	34.0	174.0	8607.0	8815.0	10
Teheran	25.0	126.0	9343.0	9494.0	10
Karachi	42.0	226.0	10364.0	10632.0	10
Cairo	31.0	153.0	8172.0	8356.0	10
Lagos	41.0	218.0	10457.0	10716.0	10
Kinshasa	41.0	211.0	8882.0	9134.0	10
Johannesburg	19.0	94.0	5954.0	6067.0	10
Casablanca	16.0	73.0	5868.0	5957.0	10
Mexico	66.0	360.0	12951.0	13377.0	10
Bogota	26.0	132.0	7211.0	7369.0	10
Havana	11.0	46.0	4837.0	4894.0	10
Caracas	21.0	103.0	6712.0	6836.0	10
Lima	29.0	148.0	7998.0	8175.0	10
Santiago	17.0	82.0	6831.0	6930.0	10
Buenos Aires	35.0	179.0	9160.0	9374.0	10
Rio de Janeiro	41.0	206.0	9520.0	9767.0	10
Sao Paulo	38.0	188.0	9129.0	9355.0	10
Honolulu	26.0	143.0	7690.0	7859.0	10
Sydney	20.0	102.0	4987.0	5109.0	10
Melbourne	19.0	93.0	4049.0	4161.0	10
Perth	17.0	75.0	3643.0	3735.0	10
Wellington	9.0	41.0	2203.0	2253.0	10
Montreal	30.0	147.0	7956.0	8133.0	10
New York	28.0	146.0	7641.0	7815.0	10
Los Angeles	33.0	162.0	8405.0	8600.0	10
Washington	28.0	146.0	7913.0	8087.0	10
Houston	22.0	117.0	6922.0	7061.0	10
Chicago	35.0	175.0	8604.0	8814.0	10
San Francisco	28.0	138.0	7671.0	7837.0	10
Atlanta	29.0	152.0	8063.0	8244.0	10
Capetown	27.0	128.0	6021.0	6176.0	10

London	26.0	139.0	9287.0	9452.0	11
Paris	27.0	146.0	9377.0	9550.0	11
Rome	11.0	47.0	6011.0	6069.0	11
Berlin	11.0	50.0	6444.0	6505.0	11
Madrid	10.0	46.0	5799.0	5855.0	11
Warsaw	9.0	26.0	4634.0	4669.0	11
Budapest	9.0	26.0	5385.0	5420.0	11
Sofia	9.0	19.0	5899.0	5927.0	11
Stockholm	9.0	17.0	4463.0	4489.0	11
Hong-Kong	17.0	85.0	7943.0	8045.0	11
Tokyo	26.0	135.0	9554.0	9715.0	11
Peking	41.0	228.0	12395.0	12664.0	11
Shanghai	34.0	186.0	11263.0	11483.0	11
Singapore	22.0	117.0	8569.0	8708.0	11
Manila	10.0	48.0	6601.0	6659.0	11
Bangkok	20.0	103.0	8386.0	8509.0	11
Jacarta	20.0	104.0	8591.0	8715.0	11
Calcutta	13.0	56.0	7708.0	7777.0	11
Bombay	18.0	92.0	8684.0	8794.0	11
Delhi	25.0	135.0	10058.0	10218.0	11
Madras	22.0	111.0	9075.0	9208.0	11
Seoul	22.0	112.0	8612.0	8746.0	11
Teheran	17.0	80.0	9344.0	9441.0	11
Karachi	26.0	141.0	10112.0	10279.0	11
Cairo	20.0	96.0	8086.0	8202.0	11
Lagos	26.0	142.0	10387.0	10555.0	11
Kinshasa	26.0	138.0	8879.0	9043.0	11
Johannesburg	14.0	61.0	6118.0	6193.0	11
Casablanca	11.0	48.0	6106.0	6165.0	11
Mexico	41.0	231.0	12539.0	12811.0	11
Bogota	17.0	85.0	7319.0	7421.0	11
Havana	9.0	30.0	5111.0	5150.0	11
Caracas	15.0	67.0	6883.0	6965.0	11
Lima	19.0	96.0	8032.0	8147.0	11
Santiago	12.0	53.0	6986.0	7051.0	11
Buenos Aires	22.0	115.0	9054.0	9191.0	11
Rio de Janeiro	26.0	135.0	9426.0	9587.0	11
Sao Paulo	25.0	122.0	9059.0	9206.0	11
Honolulu	17.0	95.0	7891.0	8003.0	11
Sydney	14.0	66.0	5071.0	5151.0	11
Melbourne	14.0	61.0	4111.0	4186.0	11
Perth	13.0	50.0	3745.0	3808.0	11
Wellington	9.0	26.0	2380.0	2415.0	11
Montreal	19.0	96.0	7963.0	8078.0	11
New York	18.0	96.0	7712.0	7826.0	11
Los Angeles	21.0	103.0	8400.0	8524.0	11
Washington	18.0	97.0	8002.0	8117.0	11
Houston	16.0	76.0	7047.0	7139.0	11
Chicago	23.0	115.0	8606.0	8744.0	11
San Francisco	18.0	92.0	7773.0	7883.0	11
Atlanta	19.0	100.0	8119.0	8238.0	11
Capetown	18.0	88.0	6282.0	6388.0	11

London	17.0	91.0	9179.0	9287.0	12
Paris	18.0	94.0	9258.0	9370.0	12
Rome	9.0	31.0	6210.0	6250.0	12
Berlin	9.0	33.0	6619.0	6661.0	12
Madrid	9.0	30.0	5998.0	6037.0	12
Warsaw	9.0	17.0	4883.0	4909.0	12
Budapest	9.0	17.0	5630.0	5656.0	12
Sofia	9.0	14.0	6151.0	6174.0	12
Stockholm	9.0	12.0	4714.0	4735.0	12
Hong-Kong	12.0	55.0	8029.0	8096.0	12
Tokyo	17.0	88.0	9430.0	9535.0	12
Peking	26.0	147.0	12012.0	12185.0	12
Shanghai	22.0	120.0	11007.0	11149.0	12
Singapore	15.0	77.0	8629.0	8721.0	12
Manila	9.0	31.0	6855.0	6895.0	12
Bangkok	14.0	67.0	8432.0	8513.0	12
Jacarta	14.0	67.0	8615.0	8696.0	12
Calcutta	9.0	38.0	7873.0	7920.0	12
Bombay	13.0	57.0	8688.0	8758.0	12
Delhi	17.0	85.0	9879.0	9981.0	12
Madras	15.0	73.0	9128.0	9216.0	12
Seoul	15.0	73.0	8598.0	8686.0	12
Teheran	12.0	52.0	9312.0	9376.0	12
Karachi	16.0	89.0	9876.0	9981.0	12
Cairo	14.0	61.0	8008.0	8083.0	12
Lagos	17.0	92.0	10292.0	10401.0	12
Kinshasa	17.0	91.0	8862.0	8970.0	12
Johannesburg	9.0	41.0	6262.0	6312.0	12
Casablanca	9.0	32.0	6312.0	6353.0	12
Mexico	26.0	148.0	12123.0	12297.0	12
Bogota	12.0	55.0	7402.0	7469.0	12
Havana	9.0	19.0	5360.0	5388.0	12
Caracas	10.0	46.0	7030.0	7086.0	12
Lima	14.0	61.0	8048.0	8123.0	12
Santiago	9.0	34.0	7113.0	7156.0	12
Buenos Aires	15.0	72.0	8942.0	9029.0	12
Rio de Janeiro	17.0	86.0	9322.0	9425.0	12
Sao Paulo	17.0	79.0	8981.0	9077.0	12
Honolulu	12.0	64.0	8035.0	8111.0	12
Sydney	9.0	45.0	5143.0	5197.0	12
Melbourne	9.0	42.0	4168.0	4219.0	12
Perth	9.0	35.0	3833.0	3877.0	12
Wellington	9.0	17.0	2547.0	2573.0	12
Montreal	14.0	63.0	7951.0	8028.0	12
New York	13.0	60.0	7757.0	7830.0	12
Los Angeles	15.0	69.0	8371.0	8455.0	12
Washington	13.0	64.0	8055.0	8132.0	12
Houston	11.0	49.0	7144.0	7204.0	12
Chicago	16.0	78.0	8592.0	8686.0	12
San Francisco	13.0	60.0	7850.0	7923.0	12
Atlanta	15.0	63.0	8149.0	8227.0	12
Capetown	14.0	59.0	6504.0	6577.0	12

London	12.0	59.0	9066.0	9137.0	13
Paris	13.0	61.0	9134.0	9208.0	13
Rome	9.0	19.0	6381.0	6409.0	13
Berlin	9.0	21.0	6769.0	6799.0	13
Madrid	9.0	19.0	6178.0	6206.0	13
Warsaw	9.0	12.0	5113.0	5134.0	13
Budapest	9.0	12.0	5848.0	5869.0	13
Sofia	9.0	9.0	6370.0	6388.0	13
Stockholm	9.0	9.0	4940.0	4958.0	13
Hong-Kong	9.0	36.0	8095.0	8140.0	13
Tokyo	12.0	58.0	9303.0	9373.0	13
Peking	17.0	95.0	11648.0	11760.0	13
Shanghai	15.0	77.0	10752.0	10844.0	13
Singapore	10.0	51.0	8660.0	8721.0	13
Manila	9.0	19.0	7070.0	7098.0	13
Bangkok	9.0	46.0	8453.0	8508.0	13
Jacarta	9.0	47.0	8623.0	8679.0	13
Calcutta	9.0	25.0	8005.0	8039.0	13
Bombay	9.0	38.0	8687.0	8734.0	13
Delhi	12.0	54.0	9710.0	9776.0	13
Madras	10.0	48.0	9152.0	9210.0	13
Seoul	10.0	48.0	8578.0	8636.0	13
Teheran	9.0	34.0	9260.0	9303.0	13
Karachi	11.0	57.0	9661.0	9729.0	13
Cairo	9.0	40.0	7944.0	7993.0	13
Lagos	12.0	59.0	10185.0	10256.0	13
Kinshasa	12.0	59.0	8837.0	8908.0	13
Johannesburg	9.0	25.0	6386.0	6420.0	13
Casablanca	9.0	20.0	6492.0	6521.0	13
Mexico	17.0	96.0	11724.0	11837.0	13
Bogota	9.0	36.0	7470.0	7515.0	13
Havana	9.0	14.0	5587.0	5610.0	13
Caracas	9.0	30.0	7149.0	7188.0	13
Lima	9.0	41.0	8053.0	8103.0	13
Santiago	9.0	22.0	7214.0	7245.0	13
Buenos Aires	10.0	45.0	8837.0	8892.0	13
Rio de Janeiro	12.0	56.0	9213.0	9281.0	13
Sao Paulo	12.0	53.0	8891.0	8956.0	13
Honolulu	9.0	42.0	8132.0	8183.0	13
Sydney	9.0	28.0	5205.0	5242.0	13
Melbourne	9.0	26.0	4221.0	4256.0	13
Perth	9.0	24.0	3910.0	3943.0	13
Wellington	9.0	12.0	2707.0	2728.0	13
Montreal	10.0	42.0	7946.0	7998.0	13
New York	9.0	41.0	7789.0	7839.0	13
Los Angeles	10.0	46.0	8341.0	8397.0	13
Washington	9.0	42.0	8091.0	8142.0	13
Houston	9.0	32.0	7225.0	7266.0	13
Chicago	11.0	51.0	8566.0	8628.0	13
San Francisco	9.0	40.0	7901.0	7950.0	13
Atlanta	9.0	44.0	8164.0	8217.0	13
Capetown	9.0	42.0	6694.0	6745.0	13

London	9.0	39.0	8955.0	9003.0	14
Paris	9.0	40.0	9014.0	9063.0	14
Rome	9.0	14.0	6527.0	6550.0	14
Berlin	9.0	14.0	6899.0	6922.0	14
Madrid	9.0	14.0	6337.0	6360.0	14
Warsaw	9.0	9.0	5326.0	5344.0	14
Budapest	9.0	9.0	6044.0	6062.0	14
Sofia	9.0	9.0	6558.0	6576.0	14
Stockholm	9.0	9.0	5146.0	5164.0	14
Hong-Kong	9.0	23.0	8145.0	8177.0	14
Tokyo	9.0	38.0	9181.0	9228.0	14
Peking	12.0	62.0	11303.0	11377.0	14
Shanghai	10.0	51.0	10510.0	10571.0	14
Singapore	9.0	33.0	8671.0	8713.0	14
Manila	9.0	14.0	7252.0	7275.0	14
Bangkok	9.0	29.0	8458.0	8496.0	14
Jacarta	9.0	30.0	8623.0	8662.0	14
Calcutta	9.0	17.0	8114.0	8140.0	14
Bombay	9.0	25.0	8682.0	8716.0	14
Delhi	9.0	35.0	9555.0	9599.0	14
Madras	9.0	30.0	9157.0	9196.0	14
Seoul	9.0	31.0	8550.0	8590.0	14
Teheran	9.0	22.0	9195.0	9226.0	14
Karachi	9.0	36.0	9470.0	9515.0	14
Cairo	9.0	24.0	7896.0	7929.0	14
Lagos	9.0	39.0	10072.0	10120.0	14
Kinshasa	9.0	39.0	8807.0	8855.0	14
Johannesburg	9.0	17.0	6493.0	6519.0	14
Casablanca	9.0	14.0	6650.0	6673.0	14
Mexico	12.0	62.0	11349.0	11423.0	14
Bogota	9.0	23.0	7526.0	7558.0	14
Havana	9.0	9.0	5794.0	5812.0	14
Caracas	9.0	19.0	7246.0	7274.0	14
Lima	9.0	25.0	8051.0	8085.0	14
Santiago	9.0	15.0	7302.0	7326.0	14
Buenos Aires	9.0	28.0	8737.0	8774.0	14
Rio de Janeiro	9.0	37.0	9107.0	9153.0	14
Sao Paulo	9.0	37.0	8813.0	8859.0	14
Honolulu	9.0	26.0	8199.0	8234.0	14
Sydney	9.0	18.0	5258.0	5285.0	14
Melbourne	9.0	17.0	4273.0	4299.0	14
Perth	9.0	16.0	3981.0	4006.0	14
Wellington	9.0	9.0	2860.0	2878.0	14
Montreal	9.0	27.0	7935.0	7971.0	14
New York	9.0	24.0	7817.0	7850.0	14
Los Angeles	9.0	31.0	8307.0	8347.0	14
Washington	9.0	26.0	8107.0	8142.0	14
Houston	9.0	19.0	7293.0	7321.0	14
Chicago	9.0	33.0	8528.0	8570.0	14
San Francisco	9.0	24.0	7938.0	7971.0	14
Atlanta	9.0	28.0	8166.0	8203.0	14
Capetown	9.0	27.0	6860.0	6896.0	14

London	9.0	25.0	8849.0	8883.0	15
Paris	9.0	25.0	8896.0	8930.0	15
Rome	9.0	9.0	6659.0	6677.0	15
Berlin	9.0	9.0	7009.0	7027.0	15
Madrid	9.0	9.0	6478.0	6496.0	15
Warsaw	9.0	9.0	5523.0	5541.0	15
Budapest	9.0	9.0	6220.0	6238.0	15
Sofia	9.0	9.0	6722.0	6740.0	15
Stockholm	9.0	9.0	5332.0	5350.0	15
Hong-Kong	9.0	16.0	8182.0	8207.0	15
Tokyo	9.0	25.0	9069.0	9103.0	15
Peking	9.0	40.0	10987.0	11036.0	15
Shanghai	9.0	32.0	10281.0	10322.0	15
Singapore	9.0	21.0	8665.0	8695.0	15
Manila	9.0	9.0	7408.0	7426.0	15
Bangkok	9.0	19.0	8451.0	8479.0	15
Jacarta	9.0	19.0	8617.0	8645.0	15
Calcutta	9.0	12.0	8203.0	8224.0	15
Bombay	9.0	16.0	8676.0	8701.0	15
Delhi	9.0	23.0	9416.0	9448.0	15
Madras	9.0	19.0	9148.0	9176.0	15
Seoul	9.0	19.0	8517.0	8545.0	15
Teheran	9.0	15.0	9122.0	9146.0	15
Karachi	9.0	23.0	9300.0	9332.0	15
Cairo	9.0	16.0	7862.0	7887.0	15
Lagos	9.0	25.0	9959.0	9993.0	15
Kinshasa	9.0	25.0	8774.0	8808.0	15
Johannesburg	9.0	12.0	6589.0	6610.0	15
Casablanca	9.0	9.0	6789.0	6807.0	15
Mexico	9.0	40.0	11000.0	11049.0	15
Bogota	9.0	16.0	7566.0	7591.0	15
Havana	9.0	9.0	5982.0	6000.0	15
Caracas	9.0	14.0	7329.0	7352.0	15
Lima	9.0	17.0	8043.0	8069.0	15
Santiago	9.0	10.0	7372.0	7391.0	15
Buenos Aires	9.0	18.0	8646.0	8673.0	15
Rio de Janeiro	9.0	24.0	9006.0	9039.0	15
Sao Paulo	9.0	23.0	8732.0	8764.0	15
Honolulu	9.0	17.0	8245.0	8271.0	15
Sydney	9.0	13.0	5310.0	5332.0	15
Melbourne	9.0	12.0	4324.0	4345.0	15
Perth	9.0	11.0	4047.0	4067.0	15
Wellington	9.0	9.0	3008.0	3026.0	15
Montreal	9.0	18.0	7928.0	7955.0	15
New York	9.0	17.0	7832.0	7858.0	15
Los Angeles	9.0	20.0	8276.0	8305.0	15
Washington	9.0	17.0	8116.0	8142.0	15
Houston	9.0	15.0	7352.0	7376.0	15
Chicago	9.0	20.0	8492.0	8521.0	15
San Francisco	9.0	16.0	7963.0	7988.0	15
Atlanta	9.0	18.0	8165.0	8192.0	15
Capetown	9.0	18.0	7003.0	7030.0	15

London	9.0	17.0	8751.0	8777.0	16
Paris	9.0	17.0	8790.0	8816.0	16
Rome	9.0	9.0	6777.0	6795.0	16
Berlin	9.0	9.0	7103.0	7121.0	16
Madrid	9.0	9.0	6602.0	6620.0	16
Warsaw	9.0	9.0	5705.0	5723.0	16
Budapest	9.0	9.0	6376.0	6394.0	16
Sofia	9.0	9.0	6865.0	6883.0	16
Stockholm	9.0	9.0	5504.0	5522.0	16
Hong-Kong	9.0	11.0	8208.0	8228.0	16
Tokyo	9.0	17.0	8963.0	8989.0	16
Peking	9.0	25.0	10695.0	10729.0	16
Shanghai	9.0	20.0	10068.0	10097.0	16
Singapore	9.0	14.0	8646.0	8669.0	16
Manila	9.0	9.0	7536.0	7554.0	16
Bangkok	9.0	14.0	8442.0	8465.0	16
Jacarta	9.0	14.0	8606.0	8629.0	16
Calcutta	9.0	9.0	8275.0	8293.0	16
Bombay	9.0	11.0	8671.0	8691.0	16
Delhi	9.0	16.0	9293.0	9318.0	16
Madras	9.0	14.0	9130.0	9153.0	16
Seoul	9.0	14.0	8486.0	8509.0	16
Teheran	9.0	10.0	9047.0	9066.0	16
Karachi	9.0	15.0	9151.0	9175.0	16
Cairo	9.0	11.0	7835.0	7855.0	16
Lagos	9.0	17.0	9848.0	9874.0	16
Kinshasa	9.0	17.0	8741.0	8767.0	16
Johannesburg	9.0	9.0	6675.0	6693.0	16
Casablanca	9.0	9.0	6909.0	6927.0	16
Mexico	9.0	25.0	10682.0	10716.0	16
Bogota	9.0	11.0	7605.0	7625.0	16
Havana	9.0	9.0	6153.0	6171.0	16
Caracas	9.0	9.0	7406.0	7424.0	16
Lima	9.0	12.0	8036.0	8057.0	16
Santiago	9.0	9.0	7429.0	7447.0	16
Buenos Aires	9.0	13.0	8564.0	8586.0	16
Rio de Janeiro	9.0	16.0	8909.0	8934.0	16
Sao Paulo	9.0	16.0	8656.0	8681.0	16
Honolulu	9.0	12.0	8273.0	8294.0	16
Sydney	9.0	9.0	5357.0	5375.0	16
Melbourne	9.0	9.0	4374.0	4392.0	16
Perth	9.0	9.0	4108.0	4126.0	16
Wellington	9.0	9.0	3151.0	3169.0	16
Montreal	9.0	13.0	7918.0	7940.0	16
New York	9.0	12.0	7842.0	7863.0	16
Los Angeles	9.0	14.0	8237.0	8260.0	16
Washington	9.0	12.0	8115.0	8136.0	16
Houston	9.0	10.0	7405.0	7424.0	16
Chicago	9.0	14.0	8452.0	8475.0	16
San Francisco	9.0	11.0	7980.0	8000.0	16
Atlanta	9.0	13.0	8156.0	8178.0	16
Capetown	9.0	14.0	7128.0	7151.0	16

London	9.0	12.0	8660.0	8681.0	17
Paris	9.0	12.0	8691.0	8712.0	17
Rome	9.0	9.0	6879.0	6897.0	17
Berlin	9.0	9.0	7187.0	7205.0	17
Madrid	9.0	9.0	6718.0	6736.0	17
Warsaw	9.0	9.0	5873.0	5891.0	17
Budapest	9.0	9.0	6520.0	6538.0	17
Sofia	9.0	9.0	6990.0	7008.0	17
Stockholm	9.0	9.0	5659.0	5677.0	17
Hong-Kong	9.0	9.0	8226.0	8244.0	17
Tokyo	9.0	12.0	8865.0	8886.0	17
Peking	9.0	17.0	10429.0	10455.0	17
Shanghai	9.0	14.0	9871.0	9894.0	17
Singapore	9.0	9.0	8617.0	8635.0	17
Manila	9.0	9.0	7645.0	7663.0	17
Bangkok	9.0	9.0	8429.0	8447.0	17
Jacarta	9.0	9.0	8594.0	8612.0	17
Calcutta	9.0	9.0	8333.0	8351.0	17
Bombay	9.0	9.0	8664.0	8682.0	17
Delhi	9.0	11.0	9186.0	9206.0	17
Madras	9.0	9.0	9109.0	9127.0	17
Seoul	9.0	9.0	8457.0	8475.0	17
Teheran	9.0	9.0	8966.0	8984.0	17
Karachi	9.0	10.0	9021.0	9040.0	17
Cairo	9.0	9.0	7817.0	7835.0	17
Lagos	9.0	12.0	9741.0	9762.0	17
Kinshasa	9.0	12.0	8713.0	8734.0	17
Johannesburg	9.0	9.0	6751.0	6769.0	17
Casablanca	9.0	9.0	7017.0	7035.0	17
Mexico	9.0	17.0	10394.0	10420.0	17
Bogota	9.0	9.0	7636.0	7654.0	17
Havana	9.0	9.0	6309.0	6327.0	17
Caracas	9.0	9.0	7464.0	7482.0	17
Lima	9.0	9.0	8025.0	8043.0	17
Santiago	9.0	9.0	7479.0	7497.0	17
Buenos Aires	9.0	9.0	8491.0	8509.0	17
Rio de Janeiro	9.0	11.0	8822.0	8842.0	17
Sao Paulo	9.0	11.0	8587.0	8607.0	17
Honolulu	9.0	9.0	8284.0	8302.0	17
Sydney	9.0	9.0	5403.0	5421.0	17
Melbourne	9.0	9.0	4424.0	4442.0	17
Perth	9.0	9.0	4165.0	4183.0	17
Wellington	9.0	9.0	3289.0	3307.0	17
Montreal	9.0	10.0	7916.0	7935.0	17
New York	9.0	9.0	7853.0	7871.0	17
Los Angeles	9.0	9.0	8208.0	8226.0	17
Washington	9.0	9.0	8113.0	8131.0	17
Houston	9.0	9.0	7452.0	7470.0	17
Chicago	9.0	9.0	8415.0	8433.0	17
San Francisco	9.0	9.0	7989.0	8007.0	17
Atlanta	9.0	9.0	8146.0	8164.0	17
Capetown	9.0	9.0	7240.0	7258.0	17

London	9.0	9.0	8576.0	8594.0	18
Paris	9.0	9.0	8596.0	8614.0	18
Rome	9.0	9.0	6970.0	6988.0	18
Berlin	9.0	9.0	7263.0	7281.0	18
Madrid	9.0	9.0	6827.0	6845.0	18
Warsaw	9.0	9.0	6030.0	6048.0	18
Budapest	9.0	9.0	6646.0	6664.0	18
Sofia	9.0	9.0	7099.0	7117.0	18
Stockholm	9.0	9.0	5803.0	5821.0	18
Hong-Kong	9.0	9.0	8236.0	8254.0	18
Tokyo	9.0	9.0	8784.0	8802.0	18
Peking	9.0	12.0	10189.0	10210.0	18
Shanghai	9.0	9.0	9692.0	9710.0	18
Singapore	9.0	9.0	8581.0	8599.0	18
Manila	9.0	9.0	7737.0	7755.0	18
Bangkok	9.0	9.0	8412.0	8430.0	18
Jacarta	9.0	9.0	8576.0	8594.0	18
Calcutta	9.0	9.0	8381.0	8399.0	18
Bombay	9.0	9.0	8656.0	8674.0	18
Delhi	9.0	9.0	9088.0	9106.0	18
Madras	9.0	9.0	9082.0	9100.0	18
Seoul	9.0	9.0	8424.0	8442.0	18
Teheran	9.0	9.0	8889.0	8907.0	18
Karachi	9.0	9.0	8905.0	8923.0	18
Cairo	9.0	9.0	7804.0	7822.0	18
Lagos	9.0	9.0	9640.0	9658.0	18
Kinshasa	9.0	9.0	8685.0	8703.0	18
Johannesburg	9.0	9.0	6818.0	6836.0	18
Casablanca	9.0	9.0	7112.0	7130.0	18
Mexico	9.0	12.0	10132.0	10153.0	18
Bogota	9.0	9.0	7663.0	7681.0	18
Havana	9.0	9.0	6449.0	6467.0	18
Caracas	9.0	9.0	7517.0	7535.0	18
Lima	9.0	9.0	8014.0	8032.0	18
Santiago	9.0	9.0	7523.0	7541.0	18
Buenos Aires	9.0	9.0	8427.0	8445.0	18
Rio de Janeiro	9.0	9.0	8737.0	8755.0	18
Sao Paulo	9.0	9.0	8524.0	8542.0	18
Honolulu	9.0	9.0	8281.0	8299.0	18
Sydney	9.0	9.0	5445.0	5463.0	18
Melbourne	9.0	9.0	4474.0	4492.0	18
Perth	9.0	9.0	4222.0	4240.0	18
Wellington	9.0	9.0	3427.0	3445.0	18
Montreal	9.0	9.0	7916.0	7934.0	18
New York	9.0	9.0	7862.0	7880.0	18
Los Angeles	9.0	9.0	8177.0	8195.0	18
Washington	9.0	9.0	8103.0	8121.0	18
Houston	9.0	9.0	7490.0	7508.0	18
Chicago	9.0	9.0	8379.0	8397.0	18
San Francisco	9.0	9.0	7997.0	8015.0	18
Atlanta	9.0	9.0	8133.0	8151.0	18
Capetown	9.0	9.0	7337.0	7355.0	18

London	9.0	9.0	8497.0	8515.0	19
Paris	9.0	9.0	8515.0	8533.0	19
Rome	9.0	9.0	7051.0	7069.0	19
Berlin	9.0	9.0	7330.0	7348.0	19
Madrid	9.0	9.0	6924.0	6942.0	19
Warsaw	9.0	9.0	6173.0	6191.0	19
Budapest	9.0	9.0	6764.0	6782.0	19
Sofia	9.0	9.0	7198.0	7216.0	19
Stockholm	9.0	9.0	5937.0	5955.0	19
Hong-Kong	9.0	9.0	8244.0	8262.0	19
Tokyo	9.0	9.0	8701.0	8719.0	19
Peking	9.0	9.0	9975.0	9993.0	19
Shanghai	9.0	9.0	9526.0	9544.0	19
Singapore	9.0	9.0	8543.0	8561.0	19
Manila	9.0	9.0	7810.0	7828.0	19
Bangkok	9.0	9.0	8391.0	8409.0	19
Jacarta	9.0	9.0	8561.0	8579.0	19
Calcutta	9.0	9.0	8421.0	8439.0	19
Bombay	9.0	9.0	8646.0	8664.0	19
Delhi	9.0	9.0	9001.0	9019.0	19
Madras	9.0	9.0	9050.0	9068.0	19
Seoul	9.0	9.0	8396.0	8414.0	19
Teheran	9.0	9.0	8816.0	8834.0	19
Karachi	9.0	9.0	8805.0	8823.0	19
Cairo	9.0	9.0	7795.0	7813.0	19
Lagos	9.0	9.0	9544.0	9562.0	19
Kinshasa	9.0	9.0	8655.0	8673.0	19
Johannesburg	9.0	9.0	6882.0	6900.0	19
Casablanca	9.0	9.0	7198.0	7216.0	19
Mexico	9.0	9.0	9898.0	9916.0	19
Bogota	9.0	9.0	7689.0	7707.0	19
Havana	9.0	9.0	6580.0	6598.0	19
Caracas	9.0	9.0	7566.0	7584.0	19
Lima	9.0	9.0	8004.0	8022.0	19
Santiago	9.0	9.0	7562.0	7580.0	19
Buenos Aires	9.0	9.0	8368.0	8386.0	19
Rio de Janeiro	9.0	9.0	8662.0	8680.0	19
Sao Paulo	9.0	9.0	8466.0	8484.0	19
Honolulu	9.0	9.0	8274.0	8292.0	19
Sydney	9.0	9.0	5489.0	5507.0	19
Melbourne	9.0	9.0	4524.0	4542.0	19
Perth	9.0	9.0	4278.0	4296.0	19
Wellington	9.0	9.0	3556.0	3574.0	19
Montreal	9.0	9.0	7911.0	7929.0	19
New York	9.0	9.0	7865.0	7883.0	19
Los Angeles	9.0	9.0	8151.0	8169.0	19
Washington	9.0	9.0	8093.0	8111.0	19
Houston	9.0	9.0	7526.0	7544.0	19
Chicago	9.0	9.0	8338.0	8356.0	19
San Francisco	9.0	9.0	7999.0	8017.0	19
Atlanta	9.0	9.0	8120.0	8138.0	19
Capetown	9.0	9.0	7423.0	7441.0	19

